id	name	arcana	level	description	strength	magic	endurance	agility	luck	weak	resists	reflects	absorbs	nullifies	dlc	query	origin
129	Jikokuten	Strength	29	Also known as Dhritarashtra, he is the protector of the East, and is one of the four Heavenly Kings of Buddhist origin. He helps maintain the security of the nation.	27	13	25	12	17	Fire	Slash,Light	Ice			0	jikokuten	Buddhist
130	Cerberus	Strength	35	The giant hound that guards the great abyss, Tartarus. He answers to Hades, the lord of the underworld, and keeps watch for both intruders and escapees. He was born from Typhon and Echidna, and is the older brother of Orthrus. 	25	24	21	29	19	Light				Fire,Dark	0	cerberus	Greek
131	Hanuman	Strength	36	A monkey god of Hindu descent. His father is Vayu, the wind god. Extremely nimble, he performed many heroic deeds in the Ramayana. He is powerful, can fly, and can change his shape into many forms.	30	17	24	22	22	Wind	Slash,Fire				0	hanuman	Hindu
132	White Rider	Strength	46	One of the Four Horsemen of the Apocalypse, he rides a white horse with a bow in hand. A crown was granted to him, and he promises victory.	36	27	30	27	25	Ice	Fire	Dark		Light	0	white-rider	Abrahamic
133	Siegfried	Strength	54	The German name of the hero in the epic poem of the Nibelungenlied. The dragon Fafnir's blood made him invincible, but a single leaf on his back resulted in a weak spot.	44	29	38	36	25	Dark	Strike			Slash,Light	0	siegfried	Norse
134	Kali	Strength	63	A goddess of death and destruction. She is said to be another face of Parvati. She is violent, bloodthirsty, wears a string of skulls, and carries bloody weapons, but she also blesses her followers.	53	30	34	48	34	Wind	Fire	Slash			0	kali	Hindu
135	Atavaka	Strength	72	One of the eight Yashaou. His domain is war and protection. Once a child-eating demon, he became one of the greatest of the Wisdom Kings after the Buddha converted him to good. 	63	37	64	39	35	Ice				Pierce,Light	0	atavaka	Buddhist
136	Inugami	Hanged	10	Spirits of dogs said to possess humans in Japanese lore. Those possessed go crazy. Onmyoji, or Japanese sorcerers, summon them to do their will.	4	8	7	7	11	Wind	Dark			Fire	0	inugami	Japanese
137	Take-Minakata	Hanged	20	A Japanese god of war, hunting and fertility. He fought Take-Mikazuchi for control of Japan and lost. He escaped to Suwa, but was prohibited to leave since.	14	14	21	10	10	Light,Dark	Pierce,Fire,Electric				0	take-minakata	Japanese
138	Orthrus	Hanged	27	The two-headed pet dog belonging to the giant, Geryon, in Greek myth. He guarded a herd of red oxen, but was killed by Hercules during one of his twelve labors.	22	14	20	18	15	Ice	Dark		Fire		0	orthrus	Greek
139	Vasuki	Hanged	38	A giant serpent of Hindu legend. It is said the gods and demons used him to churn the sea of milk. The strain caused him to exhale incredibly potent venom, but Shiva swallowed it. 	27	27	35	15	17	Wind	Ice,Electric	Light			0	vasuki	Hindu
140	Hecatoncheires	Hanged	47	A giant in Greek mythology, born from Uranus and Gaia. His name means ''hundred-handed.'' Enlisted by Zeus in the war against the Titans; thanks to his help, the gods were victorious.	37	24	48	20	25	Light	Strike,Pierce,Ice,Electric,Dark				0	hecatoncheires	Greek
141	Mada	Hanged	57	A giant Hindu monster. Its mouth is so enormous it, can swallow the Earth and the heavens in one bite. Its name means, ''he who intoxicates.''	42	48	45	33	28	Ice,Wind,Light	Strike,Electric		Fire	Dark	0	mada	Hindu
142	Medea	Hanged	63	No description (Strega Only)	53	65	42	46	30				Fire		0	medea	Greek
143	Hell Biker	Hanged	65	A motorcyclist whose violent nature turned him into a demon. His anger at himself and the world causes him to lash out, so that everyone else will suffer as well.	48	51	50	40	22	Light		Fire,Wind			0	hell-biker	Original
144	Attis	Hanged	73	A Phrygian god who symbolizes life, death, and revival. He rejected Cybele's love and was driven mad, dying after he castrated himself. Cybele then resurrected him. 	45	53	51	57	32	Light,Dark	Slash,Strike,Pierce	Wind		Fire	0	attis	Near Eastern
145	Pisaca	Death	15	A type of preta, or ''hungry ghost,'' in Hindu lore that eats human corpses. It enters a human through the mouth and causes harm. Those who see one are said to die within nine months.	10	13	16	9	7	Pierce,Fire,Light	Strike,Electric			Dark	0	pisaca	Hindu
146	Pale Rider	Death	23	One of the Four Horsemen of the Apocalypse, he rides a pale horse and represents death. He has the power to destroy life.	20	18	13	17	11	Light	Wind	Dark			0	pale-rider	Abrahamic
147	Loa	Death	33	A group of deities worshiped in voodoo. They control the forces of nature and influence human activities. Some also have powerful magic used to curse others.	21	26	24	19	18	Light	Electric,Dark				0	loa	Folklore
148	Samael	Death	41	A mysterious angel with the name ''Poison of God.'' He is often shown as a serpent. Opinions differ on whether he is fallen or not, but either way, he is linked with death.	26	31	27	21	25	Wind	Ice			Electric,Dark	0	samael	Abrahamic
149	Mot	Death	58	The Canaanite god of death. Every year, Mot attempts to kill Baal, the god of fertility, only to see him raised from the dead with the help of his sister, Anat.	37	42	44	29	33	Wind		Dark		Electric	0	mot	Near Eastern
150	Alice	Death	68	A ghost who appears as a young blonde girl. She seems young, but has formidable magic powers. Some say she's the ghost of a poor English girl who died an unfortunate death.	35	62	31	51	44	Light		Dark			0	alice	Fiction
151	Thanatos	Death	78	The Greek god of death, he is the son of Nyx and the brother of Hypnos. He is depicted as a young man with an inverted torch and a wreath or butterfly in his hands.	52	66	53	45	40	Light	Fire,Ice,Electric,Wind	Dark			0	thanatos	Greek
152	Nigi Mitama	Temperance	12	One of the four aspects of Shinto thought, it works gently to help maintain a calm mind. It is said to aid in one's relations and sociability, and can lead one in a positive direction.	6	10	9	10	8	Electric	Light,Dark			Wind	0	nigi-mitama	Japanese
153	Mitra	Temperance	22	An ancient Persian god of contracts, who was also revered as a sun god who brought harvests when he was introduced to the Zoroastrian religion.	13	19	16	10	15	Electric				Ice,Light	0	mitra	Near Eastern
154	Genbu	Temperance	30	One of the Ssu-Ling, celestial creatures of Chinese myth. It represents the direction north, the season of winter, and the element of water. Known to be a great warrior, it supports the earth from below.	18	17	30	12	20	Electric				Ice	0	genbu	Chinese
155	Seiryu	Temperance	38	The noblest of the Ssu-Ling creatures of Chinese myth. It represents the direction east, the season of spring, and the element of wood. He dwells in a palace at the bottom of the ocean.	24	31	27	21	18	Electric				Ice	0	seiryu	Chinese
156	Okuninushi	Temperance	44	A Kunitsu deity of Japanese mythology that governs agriculture and medicine. Said to have built the country of Izumo with Susano-o's daughter, Suseri-Hime. 	35	32	29	24	19	Wind	Light	Electric		Fire	0	okuninushi	Japanese
157	Suzaku	Temperance	55	One of the Ssu-Ling, celestial creatures of Chinese myth. It is a giant bird that is said to chirp in five beautiful voices. It represents the direction south, the season of summer, and the element of fire.	31	40	32	42	31	Ice	Light	Fire			0	suzaku	Chinese
158	Byakko	Temperance	63	One of the Ssu-Ling, celestial creatures of Chinese myth. It represents the direction west, the season of autumn, and the element of metal. He is believed to be the king of all beasts.	45	44	50	39	30	Fire		Electric		Ice	0	byakko	Chinese
159	Yurlungur	Temperance	71	A snake with a rainbow body from Murngin lore. He is a fertility deity who controls the weather and resides in a holy pond filled with rainbow-colored water.	41	45	63	42	38	Dark	Fire,Electric,Light				0	yurlungur	Oceanic
160	Lilim	Devil	8	A demon who tempts sleeping men and attacks infants. She is the daughter of the demoness, Lilith. Like her mother, she drains men of their essence.	4	10	4	6	7	Light	Electric,Dark				0	lilim	Abrahamic
161	Mokoi	Devil	18	Evil spirits of Murngin lore believed to be reborn shadows. They kidnap and eat children, and strike down any sorcerer who uses black magic.	7	7	12	16	22	Fire				Ice,Dark	0	mokoi	Oceanic
162	Baphomet	Devil	30	A goat-headed demon that is worshiped in Black Sabbaths. His name is sometimes used as a generic name for any demon. He would become an object of worship for witches.	20	25	22	16	19	Wind,Light	Fire			Dark	0	baphomet	Abrahamic
163	Incubus	Devil	37	A male demon of European lore in medieval times. They visit sleeping women and have sexual intercourse with them. The resulting children become witches or wizards.	22	30	20	21	28	Slash,Light				Fire,Dark	0	incubus	Abrahamic
164	Succubus	Devil	47	A female demon of European lore in medieval times. They visit sleeping men and have sexual intercourse with them. The victims don't wake up, but may dream of the encounter.	26	41	28	33	27	Pierce,Light		Fire	Dark		0	succubus	Abrahamic
165	Pazuzu	Devil	56	The Babylonian lord of wind and scorching sands. Has a lion's head and arms, eagle-clawed feet, bird wings, and deadly poison. The diseases he spreads can only be cured by magical means.	34	42	35	32	34	Electric,Light	Dark	Ice		Wind	0	pazuzu	Near Eastern
166	Lilith	Devil	65	Said to have been Adam's first wife, she desired to be his equal and refused to obey him. She was cast out of Eden and became a demon of the night. She is the mother of the demoness, Lilim.	35	56	38	44	35	Fire	Ice		Electric	Dark	0	lilith	Abrahamic
167	Abaddon	Devil	76	The ''Destroyer'' and ''Angel of the Bottomless Pit'' as described in ancient scriptures. He controls locusts, using them to cause massive destruction to villages. 	53	61	48	33	46	Ice,Light			Slash,Strike,Dark	Fire	0	abaddon	Abrahamic
168	Beelzebub	Devil	81	Demonic Lord of the Flies whose insect minions carry souls for him to control. He is mentioned in the Bible as a leader of evil spirits and is seen as a powerful demon.	50	62	50	60	52	Fire,Light		Dark		Strike,Electric,Wind	0	beelzebub	Abrahamic
169	Eligor	Tower	31	One of the 72 demons of the Goetia. He looks like a knight and has the power to see things to come. He also knows much about wars. 	26	21	24	20	15	Electric	Pierce,Dark			Fire	0	eligor	Abrahamic
170	Cu Chulainn	Tower	40	A hero in Celtic folklore. He was called Setanta until he earned the name ''Culann's Hound.'' There are many tales of his adventures. He received his spear, Gae Bolg, from his mentor, Scathach.	33	29	24	26	21	Ice	Pierce,Electric	Wind			0	cu-chulainn	Celtic
171	Magatsu-Izanagi	Tower	50	A Persona of another story. He is Izanagi's rival and looks just like him. Magatsu means ''calamity.'' Unlike Izanagi, who founded the land and brought order, he leads all back into chaos.	42	39	36	28	17	Ice	Pierce			Light,Dark	1	magatsu-izanagi	Japanese
172	Bishamonten	Tower	60	Also known as Tamonten and Vaishravana in Buddhist lore, he is the strongest of the Heavenly Kings. He protects the North and is the god of war.	50	38	45	36	30	Ice	Light			Strike,Fire	0	bishamonten	Buddhist
173	Qitian Dasheng	Tower	67	Also known as ''Sun Wukong,'' he was supposedly born from a rock. After wreaking havoc, he was punished by Buddha, but was eventually saved by a monk named Santsang.	52	38	39	50	41	Fire	Wind			Pierce	0	qitian-dasheng	Chinese
174	Mara	Tower	75	A Buddhist demon that represents the fear of death. Also known as ''The Evil One,'' he sent his daughters to tempt Buddha during his meditations.	60	50	50	48	39	Ice,Light			Strike,Fire,Dark		0	mara	Buddhist
175	Masakado	Tower	79	Taira no Masakado, hero of the Heian period. He claimed the title ''Shinno'' (New Emperor) and rebelled against the government. He was killed, but it is said he became a demigod.	67	46	55	43	48	Electric	Slash,Strike,Pierce,Dark	Light			0	masakado	Japanese
176	Shiva	Tower	82	One of the major Hindu gods, he is known as the Destroyer but is also related to regeneration. His wife is Parvati.	63	57	48	57	55	Ice			Electric	Pierce,Light	0	shiva	Hindu
177	Chi You	Tower	86	A Chinese god of war, he is said to have invented many weapons. He and his followers rebelled against the Yellow Emperor, Huang Di, but were ultimately defeated.	69	50	63	53	60	Electric	Slash,Pierce				0	chi-you	Chinese
178	Neko Shogun	Star	17	A prophetic Taoist god, originally known as Mao Shogun. Due to a linguistic error involving the Chinese word for cat, his name became Neko Shogun.	15	12	10	14	8	Wind	Electric			Light,Dark	0	neko-shogun	Chinese
179	Setanta	Star	29	A brave young man in Celtic myth. After defeating a fierce guard dog, he volunteered to take its place, earning him the nickname ''Hound of Culann.''	26	19	17	21	15	Fire,Dark	Pierce			Electric	0	setanta	Celtic
180	Cendrillon	Star	36	A Persona of another story. It is the French name of the titular heroine of Cinderella, a tale of great renown in which a mistreated waif gains luxury, beauty, and a single night's dance with a prince through the power of magic.	25	22	20	28	20	Dark	Light				1	cendrillon	Fiction
181	Kaiwan	Star	42	A god in Assyrian legend. His name is interchangeable with that of Sakkut, another incarnation of the star god, Saturn.	23	28	25	25	32	Pierce	Fire,Ice,Dark				0	kaiwan	Near Eastern
182	Ganesha	Star	51	The Hindu elephant-headed god. He was originally created by Parvati to prevent anyone from watching her bathe. Shiva batted off his original head and replaced it with an elephant's head.	39	31	34	20	40	Dark			Wind	Pierce	0	ganesha	Hindu
183	Vanadis	Star	58	A Persona of another story. It is the true name of Freyja, of the Norse Vanir deities. Her name means ''dis of the Vanir''—''dis'' being a goddess. Known to be a great beauty and a witchlike master of magic.	43	38	30	42	33	Dark	Slash			Light	1	vanadis	Norse
184	Garuda	Star	64	A divine bird-man in Hindu lore, he once fought the gods and received immortality in exchange for becoming Vishnu's carrier.	45	41	35	51	36	Ice,Electric,Dark	Slash,Strike,Fire,Wind			Light	0	garuda	Hindu
185	Houou	Star	70	The legendary bird of myth said to appear only in times of peace. It is the ruler of all birds. When it dies, birds across the land chirp with sadness.	35	57	39	54	41	Pierce,Electric	Ice		Fire,Light	Wind	0	houou	Chinese
186	Saturnus	Star	76	The Roman god of agriculture. He is commonly identified with Cronus. In an attempt to prevent his destiny, he ate his children, but was overthrown as was fated.	43	70	45	51	41	Ice			Fire	Wind	0	saturnus	Roman
187	Helel	Star	88	A fallen angel in Judeo-Christian lore whose name means ''morning star.'' Primarily known for defying God, but also worshiped as a bringer of light to mankind.	63	63	62	58	58	Ice	Slash,Strike,Pierce		Light,Dark		0	helel	Abrahamic
188	Gurulu	Moon	14	A demon that takes the shape of a giant bird in Sri Lankan myth. It is thought to be a derivation of Garuda.	13	8	10	12	6	Fire,Light	Wind			Dark	0	gurulu	Buddhist
189	Yamata-no-Orochi	Moon	25	A giant snake with eight heads that Susano-o defeated to save Kushinada-hime. The legendary sword Ame-no-Murakumo-no-Tsurugi, also known as the Sword of Kusanagi, emerged from its belly.	19	19	17	13	14	Slash				Ice,Electric	0	yamata-no-orochi	Japanese
190	Kaguya	Moon	34	A Persona of another story. A divine being born from a glowing bamboo shoot. Though many proposed to her, none could complete her strict tasks. She eventually returned to her home, the moon.	19	32	28	19	11	Fire	Wind			Light,Dark	1	kaguya	Japanese
191	Girimekhala	Moon	39	A giant elephant monster of Sri Lankan myth, it is typically portrayed as being ridden by the Evil One, Mara. Whoever looks into its evil eye is said to be met with misfortune.	36	26	28	20	20	Wind,Light		Slash,Pierce			0	girimekhala	Buddhist
192	Dionysus	Moon	49	The Greek god of wine and theater. He had two births. When his mother died while bearing him, Zeus took the premature infant and let him mature in Zeus's own thigh to a proper birth.	30	38	26	30	33	Wind	Strike	Electric			0	dionysus	Greek
193	Chernobog	Moon	56	A cursed god of the darkness in Slavic myth. His name means ''Black God.'' He is the counterpart of the ''White God'' Belobog.	48	41	31	35	32	Fire	Pierce		Dark	Slash	0	chernobog	Slavic
194	Seth	Moon	62	The Egyptian god of the desert, chaos, and evil. He murdered his brother, Osiris, and tried to become chief god, but he was castrated by Osiris's son, Horus.	47	49	42	29	35	Ice,Light	Dark	Fire			0	seth	Egyptian
195	Baal Zebul	Moon	72	Demon whose name means ''Lord of the High Place.'' Possibly derived from the Syrian deity Ba'al, he presides over death and the spirits of the deceased. Many worshiped him because of this power.	51	56	45	42	41	Fire,Light	Ice,Electric,Wind	Dark			0	baal-zebul	Near Eastern
196	Sandalphon	Moon	80	Metatron's twin brother in Judeo-Christian lore, he is the master of heavenly songs. It is said that a human would take 500 years to walk the length of his body.	53	53	67	46	49	Dark	Electric	Light		Slash	0	sandalphon	Abrahamic
197	Yatagarasu	Sun	24	A divine creature in Japanese lore. They are three-legged birds sent by Amaterasu to help humans. They are said to have helped Emperor Jinmu claim victory.	16	16	14	24	13	Ice	Wind			Light	0	yatagarasu	Japanese
198	Thunderbird	Sun	35	A revered bird of Native American mythology said to live atop cloud-shrouded peaks. Resembles an eagle. Its wingbeats create thunderclaps, and some legends say its eyes can unleash lightning.	18	28	18	32	21	Pierce			Electric	Light	0	thunderbird	Americas
199	Quetzalcoatl	Sun	45	An Aztec deity known as the Feathered Serpent. He created humans with his own blood and taught them how to sustain themselves.	25	35	33	30	25	Dark	Wind			Ice,Light	0	quetzalcoatl	Americas
200	Jatayu	Sun	55	The king of birds in Hindu myth. In the Ramayana, he fought bravely, but lost to Ravana in an attempt to save Sita, Rama's wife, the 7th avatar of Vishnu.	33	40	30	50	28	Pierce,Electric	Fire,Ice,Light		Wind		0	jatayu	Hindu
201	Horus	Sun	67	An ancient god of Egypt whose eyes are the sun and moon. Revered by some as the chief god, he is often depicted as a hawk or a falcon.	42	53	34	48	40	Dark	Ice	Light		Electric	0	horus	Egyptian
202	Vishnu	Sun	78	One of the major Hindu gods, he is the preserver and protector of the universe. Legends claim that he will make ten appearances across time and space to strike down evil and uphold justice.	65	55	50	53	42	Dark			Light	Ice,Electric	0	vishnu	Hindu
203	Asura	Sun	85	The Hindu king of Asuras is named Maha Vairocana, or ''One Who Shines On All.'' In Buddhism, he is known as Dainichi Nyorai.	75	55	58	50	54	Wind			Fire	Strike,Light	0	asura	Hindu
204	Anubis	Judgement	40	The jackal-headed god of Egyptian myth. He weighs the hearts of the dead to determine their final destination. He is also associated with embalming. 	27	35	30	21	26					Light,Dark	0	anubis	Egyptian
205	Trumpeter	Judgement	59	Angels said to sound the trumpets at the apocalypse. Each trumpet brings more plagues and disasters, turning the earth into a land of death and suffering.	44	44	37	35	33	Wind		Light		Ice,Dark	0	trumpeter	Abrahamic
206	Michael	Judgement	70	One of the four major archangels, he is at the top of the angelic hierarchy. He carries a long spear that can cut through anything, and his name means ''one who is like God.''	56	48	46	37	42	Wind	Slash,Pierce,Dark	Light			0	michael	Abrahamic
207	Satan	Judgement	82	The prince of darkness in Judeo-Christian lore, known for his role as the snake that tempted Adam and Eve at Eden. It is also said he is sent by God to test man's piety.	55	68	52	43	53	Wind	Fire	Ice	Dark		0	satan	Abrahamic
208	Lucifer	Judgement	89	A fallen angel and the lord of demons in Judeo-Christian lore. His pride led him to revolt against God, taking a third of the heavenly host with him. He now waits for a second chance to challenge God.	70	70	61	51	55			Dark	Fire,Electric		0	lucifer	Abrahamic
209	Messiah	Judgement	91	Appears before Judgment Day to save the virtuous. He is a universal figure, appearing in myth around the world. Many stories involve his death and rebirth.	65	70	62	59	59		Fire,Ice,Electric,Wind	Light,Dark			0	messiah	Original
210	Nidhoggr	Aeon	47	An evil dragon that gnaws on the roots of Yggdrasil, the World Tree. It rules over the evil snakes that live there. Capable of surviving Ragnarok by feeding on the slain corpses that drift to it.	36	29	43	21	28	Wind,Light	Pierce,Dark			Ice,Electric	0	nidhoggr	Norse
211	Uriel	Aeon	57	One of the four major archangels. His name means ''Flame of God,'' and he knows all the celestial phenomena. He is the first angel Satan met on earth. 	47	42	35	36	30	Ice,Dark	Slash		Fire	Electric,Light	0	uriel	Abrahamic
212	Ananta	Aeon	73	The thousand-headed serpent of Hindu myth. Ananta is Sanskrit for ''infinite.'' After resting on him, Vishnu woke up and created the universe. 	51	51	68	35	42	Slash,Electric	Pierce		Ice	Light	0	ananta	Hindu
213	Metatron	Aeon	87	The greatest angel in Judeo-Christian legend. He is known as the Voice of God or the Angel of Contracts. Despite his duty to maintain the world's order, he shows no mercy towards humanity.	60	65	65	55	53	Electric,Dark	Ice	Fire,Wind,Light			0	metatron	Abrahamic
